"task_number","technique","tree_depth","repetition","start_time","end_time","ellapsed_time","num_windows","subject"
"8","P","4","3",385116,416826,31.71,4,"s9"
"9","P","4","0",418236,443186,24.95,4,"s9"
"10","P","3","0",444460,470474,26.014,3,"s9"
"11","P","5","2",471931,510049,38.118,5,"s9"
"12","P","4","2",511548,533550,22.002,4,"s9"
"13","S","3","3",559782,586022,26.24,0,"s9"
"14","S","5","0",587612,620018,32.406,0,"s9"
"15","S","4","0",621709,649877,28.168,0,"s9"
"16","S","5","3",651251,695412,44.161,0,"s9"
"17","S","3","0",696693,719229,22.536,0,"s9"
"18","S","3","1",720572,748058,27.486,0,"s9"
"19","S","5","1",749311,788429,39.118,0,"s9"
"20","S","3","2",789730,817920,28.19,0,"s9"
"21","S","4","3",819334,846056,26.722,0,"s9"
"22","S","4","2",847352,904380,57.028,0,"s9"
"23","S","4","1",905764,929776,24.012,0,"s9"
"24","S","5","2",930957,969162,38.205,0,"s9"
"25","M","3","0",993086,1034983,41.897,1,"s9"
"26","M","3","1",1036308,1070768,34.46,1,"s9"
"27","M","5","0",1072058,1112131,40.073,1,"s9"
"28","M","5","2",1113342,1160106,46.764,1,"s9"
"29","M","4","1",1161656,1191914,30.258,1,"s9"
"30","M","5","1",1192877,1233635,40.758,1,"s9"
"31","M","5","3",1235133,1279617,44.484,1,"s9"
"32","M","4","3",1280967,1332828,51.861,1,"s9"
"33","M","4","0",1334434,1397150,62.716,1,"s9"
"34","M","4","2",1398782,1434779,35.997,1,"s9"
"35","M","3","2",1437029,1459637,22.608,1,"s9"
"36","M","3","3",1461282,1480811,19.529,1,"s9"
"1","S","3","1",64542,98637,34.095,0,"s10"
"2","S","5","2",99662,134156,34.494,0,"s10"
"3","S","5","0",135186,163746,28.56,0,"s10"
"4","S","3","2",164836,178141,13.305,0,"s10"
"5","S","4","0",179374,201925,22.551,0,"s10"
"6","S","4","1",203119,231437,28.318,0,"s10"
"7","S","4","3",232279,247493,15.214,0,"s10"
"8","S","3","0",248231,272540,24.309,0,"s10"
"9","S","3","3",273350,292933,19.583,0,"s10"
"10","S","5","3",294134,329364,35.23,0,"s10"
"11","S","4","2",330391,355973,25.582,0,"s10"
"12","S","5","1",357078,384941,27.863,0,"s10"
"13","P","4","2",440743,461885,21.142,5,"s10"
"14","P","5","0",464198,496230,32.032,5,"s10"
"15","P","4","3",497342,524853,27.511,4,"s10"
"16","P","3","3",526063,545566,19.503,3,"s10"
"17","P","5","1",546911,583462,36.551,6,"s10"
"18","P","4","1",584679,614954,30.275,5,"s10"
"19","P","3","0",615999,640942,24.943,4,"s10"
"20","P","3","2",642072,657468,15.396,3,"s10"
"21","P","3","1",658606,680489,21.883,5,"s10"
"22","P","5","2",682003,710015,28.012,5,"s10"
"23","P","4","0",711279,736771,25.492,4,"s10"
"24","P","5","3",738232,856506,118.274,7,"s10"
"25","M","3","0",882287,916493,34.206,1,"s10"
"26","M","5","3",917711,947870,30.159,1,"s10"
"27","M","5","2",948903,985343,36.44,1,"s10"
"28","M","4","2",986656,1011311,24.655,1,"s10"
"29","M","4","1",1012251,1047670,35.419,1,"s10"
"30","M","3","3",1049333,1073816,24.483,1,"s10"
"31","M","4","3",1075023,1097383,22.36,1,"s10"
"32","M","5","0",1098288,1131077,32.789,1,"s10"
"33","M","4","0",1132423,1154784,22.361,1,"s10"
"34","M","5","1",1156111,1185941,29.83,1,"s10"
"35","M","3","2",1187176,1204246,17.07,1,"s10"
"36","M","3","1",1205312,1231483,26.171,1,"s10"
"1","S","3","1",38109,61717,23.608,0,"s11"
"2","S","5","2",63069,98020,34.951,0,"s11"
"3","S","5","3",99334,130637,31.303,0,"s11"
"4","S","4","1",132470,167373,34.903,0,"s11"
"5","S","4","3",168598,200821,32.223,0,"s11"
"6","S","4","2",201967,225150,23.183,0,"s11"
"7","S","5","1",226175,269263,43.088,0,"s11"
"8","S","3","0",270984,293190,22.206,0,"s11"
"9","S","3","2",294624,308831,14.207,0,"s11"
"10","S","5","0",309944,334911,24.967,0,"s11"
"11","S","3","3",336320,359943,23.623,0,"s11"
"12","S","4","0",361209,402824,41.615,0,"s11"
"13","P","5","2",451720,501978,50.258,5,"s11"
"14","P","5","0",503259,585260,82.001,6,"s11"
"15","P","3","1",586476,620987,34.511,4,"s11"
"16","P","4","2",622301,654452,32.151,4,"s11"
"17","P","3","3",656109,677025,20.916,3,"s11"
"18","P","3","2",678166,699532,21.366,3,"s11"
"19","P","4","0",700638,727253,26.615,4,"s11"
"20","P","5","1",728366,749046,20.68,5,"s11"
"21","P","3","0",750303,772605,22.302,3,"s11"
"22","P","4","1",773999,800297,26.298,4,"s11"
"23","P","4","3",801566,826591,25.025,4,"s11"
"24","P","5","3",827823,870191,42.368,5,"s11"
"25","M","3","3",924004,957599,33.595,1,"s11"
"26","M","5","0",958969,1003094,44.125,1,"s11"
"27","M","3","1",1003979,1030616,26.637,1,"s11"
"28","M","3","0",1031779,1050551,18.772,1,"s11"
"29","M","4","2",1051862,1077978,26.116,1,"s11"
"30","M","5","2",1079211,1120689,41.478,1,"s11"
"31","M","4","1",1121645,1158262,36.617,1,"s11"
"32","M","4","3",1159628,1209512,49.884,1,"s11"
"33","M","4","0",1210877,1257796,46.919,1,"s11"
"34","M","5","3",1258858,1297263,38.405,1,"s11"
"35","M","3","2",1298790,1334956,36.166,1,"s11"
"36","M","5","1",1336047,1370464,34.417,1,"s11"
